Date,Service,Admissions,Durée séjour (jours),Lits disponibles,Médecins,Infirmiers,Température (°C),Asthme (cas),Blessures (cas),Budget (euros),Stock Médicaments,Stock Consommables,Commandes Médicaments,Commandes Consommables,Capacité Max Médicaments,Capacité Max Consommables
2022-05-16,Pneumologie,23,3.38,3,8,23,19,3,0,36853,906,3773,0,1559,1300,5000
2022-05-17,Orthopédie,21,2.33,21,11,21,15,0,28,42761,936,3891,0,0,1500,6000
2022-05-17,Pneumologie,36,3.68,0,12,24,16,6,0,35665,880,3565,269,2355,1300,5000
2022-05-18,Orthopédie,26,3.26,5,11,24,16,0,25,46513,950,3746,0,1057,1500,6000
2022-05-18,Pneumologie,31,4.24,0,11,23,18,5,0,32302,862,3517,329,1476,1300,5000
2022-05-19,Orthopédie,34,2.38,0,11,23,17,0,23,41449,903,3698,0,1234,1500,6000
2022-05-19,Pneumologie,36,3.08,0,10,21,20,6,0,35753,859,3531,345,1075,1300,5000
2022-05-20,Orthopédie,26,3.43,0,12,25,18,0,24,45975,873,3768,228,1993,1500,6000
2022-05-20,Pneumologie,27,4.87,4,11,24,16,5,0,38322,813,3661,351,1142,1300,5000
2022-05-21,Orthopédie,28,2.52,4,11,23,18,0,27,45403,935,3697,0,1265,1500,6000
2022-05-21,Pneumologie,25,4.09,0,8,22,20,4,0,34828,944,3716,0,2230,1300,5000
2022-05-22,Orthopédie,23,2.81,11,9,22,18,0,27,45311,948,3853,0,0,1500,6000
2022-05-22,Pneumologie,30,3.37,1,11,21,15,5,0,36474,899,3733,248,2044,1300,5000
2022-05-23,Orthopédie,29,2.59,3,10,24,19,0,32,44901,899,3715,250,2107,1500,6000
2022-05-23,Pneumologie,26,3.09,0,10,25,17,4,0,33060,889,3656,482,1912,1300,5000
2022-05-24,Orthopédie,34,3.71,0,9,22,20,0,31,47720,853,3608,428,1897,1500,6000
2022-05-24,Pneumologie,24,4.64,1,8,25,19,4,0,36423,907,3714,0,1301,1300,5000
2022-05-25,Orthopédie,34,2.74,3,12,21,16,0,33,42239,905,3555,0,1950,1500,6000
2022-05-25,Pneumologie,23,4.58,3,9,21,18,4,0,31622,859,3515,375,1183,1300,5000
2022-05-26,Orthopédie,33,2.05,12,11,21,20,0,27,46368,954,3837,0,0,1500,6000
2022-05-26,Pneumologie,22,3.4,0,9,25,15,3,0,37190,903,3696,0,2463,1300,5000
2022-05-27,Orthopédie,32,2.67,0,8,24,20,0,35,41998,892,3757,241,1118,1500,6000
2022-05-27,Pneumologie,22,3.89,4,11,24,20,3,0,34419,939,3785,0,1468,1300,5000
2022-05-28,Orthopédie,33,3.46,3,12,22,15,0,32,43115,844,3733,253,1247,1500,6000
2022-05-28,Pneumologie,29,4.3,1,9,24,19,5,0,38060,887,3397,252,1915,1300,5000
2022-05-29,Orthopédie,29,2.86,0,8,21,17,0,26,44750,880,3832,324,0,1500,6000
2022-05-29,Pneumologie,22,4.35,0,9,22,16,3,0,32798,867,3715,278,1669,1300,5000
2022-05-30,Orthopédie,36,2.63,3,10,22,16,0,34,47920,907,3749,0,1556,1500,6000
2022-05-30,Pneumologie,22,4.29,0,12,22,19,3,0,33876,942,3593,0,2475,1300,5000
2022-05-31,Orthopédie,26,2.51,10,9,25,17,0,31,42861,924,3710,0,1428,1500,6000
2022-05-31,Pneumologie,24,3.67,0,12,25,15,4,0,35328,894,3705,273,1510,1300,5000
2022-06-01,Orthopédie,30,2.87,1,11,23,22,0,34,47079,898,3659,218,1952,1500,6000
2022-06-01,Pneumologie,17,3.28,9,12,22,23,2,0,31996,952,3855,0,0,1300,5000
2022-06-02,Orthopédie,33,2.57,0,9,23,19,0,31,42247,877,3610,408,2041,1500,6000
2022-06-02,Pneumologie,24,3.57,0,11,26,21,4,0,36216,919,3745,0,1068,1300,5000
2022-06-03,Orthopédie,30,2.94,0,11,22,22,0,31,44631,883,3752,247,1759,1500,6000
2022-06-03,Pneumologie,25,3.35,0,10,24,24,4,0,34446,947,3793,0,1737,1300,5000
2022-06-04,Orthopédie,29,3.24,0,12,26,23,0,33,41857,952,3792,0,1258,1500,6000
2022-06-04,Pneumologie,19,3.4,2,13,25,21,3,0,33445,953,3752,0,2403,1300,5000
2022-06-05,Orthopédie,32,3.87,3,10,23,24,0,29,43841,844,3600,395,1732,1500,6000
2022-06-05,Pneumologie,27,3.09,0,10,23,21,4,0,35533,921,3656,0,1873,1300,5000
2022-06-06,Orthopédie,34,2.87,4,10,24,23,0,29,46647,858,3788,425,1740,1500,6000
2022-06-06,Pneumologie,18,3.51,3,11,23,20,3,0,32480,964,3758,0,1075,1300,5000
2022-06-07,Orthopédie,36,3.4,5,11,26,19,0,38,43948,906,3389,0,2019,1500,6000
2022-06-07,Pneumologie,24,4.72,0,9,25,23,4,0,36600,926,3505,0,1549,1300,5000
2022-06-08,Orthopédie,33,3.62,2,12,25,21,0,30,48904,916,3595,0,1046,1500,6000
2022-06-08,Pneumologie,27,4.62,3,9,26,23,4,0,35096,932,3663,0,1567,1300,5000
2022-06-09,Orthopédie,26,2.61,8,13,22,20,0,36,45558,941,3778,0,1060,1500,6000
2022-06-09,Pneumologie,19,4.26,3,12,26,21,3,0,35095,928,3680,0,2057,1300,5000
2022-06-10,Orthopédie,33,3.87,5,12,24,22,0,37,44541,841,3392,322,1979,1500,6000
2022-06-10,Pneumologie,20,3.43,0,12,24,19,3,0,35417,964,3753,0,1051,1300,5000
2022-06-11,Orthopédie,33,3.47,3,11,22,22,0,38,43827,863,3576,316,1053,1500,6000
2022-06-11,Pneumologie,15,3.11,26,9,22,19,2,0,31628,933,3901,0,0,1300,5000
2022-06-12,Orthopédie,30,3.62,4,10,22,21,0,37,48063,842,3693,250,2216,1500,6000
2022-06-12,Pneumologie,23,3.46,0,10,25,20,3,0,37082,887,3831,309,0,1300,5000
2022-06-13,Orthopédie,35,2.63,0,13,24,22,0,38,43240,909,3627,0,1906,1500,6000
2022-06-13,Pneumologie,23,4.32,2,11,24,23,4,0,36561,884,3801,425,0,1300,5000
2022-06-14,Orthopédie,32,2.68,2,12,24,24,0,34,42534,883,3752,351,1509,1500,6000
2022-06-14,Pneumologie,15,3.85,14,13,23,24,2,0,38613,914,3735,0,2343,1300,5000
2022-06-15,Orthopédie,28,3.8,0,10,25,20,0,29,47239,934,3472,0,2378,1500,6000
2022-06-15,Pneumologie,20,3.92,1,12,23,23,3,0,33589,888,3773,214,1124,1300,5000
2022-06-16,Orthopédie,29,3.42,0,9,23,22,0,30,44181,916,3643,0,1690,1500,6000
2022-06-16,Pneumologie,16,3.41,13,12,25,20,3,0,31415,963,3785,0,1762,1300,5000
2022-06-17,Orthopédie,35,2.7,0,12,22,20,0,33,47535,951,3667,0,2019,1500,6000
2022-06-17,Pneumologie,17,3.3,9,9,26,21,3,0,33649,968,3753,0,2347,1300,5000
2022-06-18,Orthopédie,33,2.53,0,10,26,24,0,32,47816,912,3811,0,0,1500,6000
2022-06-18,Pneumologie,14,4.23,11,13,26,19,2,0,35803,934,3870,0,0,1300,5000
2022-06-19,Orthopédie,38,3.34,2,10,22,19,0,32,48173,848,3569,285,1297,1500,6000
2022-06-19,Pneumologie,18,3.74,7,12,25,24,2,0,36715,952,3790,0,1054,1300,5000
2022-06-20,Orthopédie,39,2.79,0,12,25,20,0,31,41015,908,3685,0,1738,1500,6000
2022-06-20,Pneumologie,14,3.93,16,11,23,19,2,0,36872,932,3730,0,2449,1300,5000
2022-06-21,Orthopédie,30,2.05,8,9,24,20,0,36,48188,969,3776,0,2088,1500,6000
2022-06-21,Pneumologie,20,3.23,4,11,23,19,3,0,38429,968,3694,0,1056,1300,5000
2022-06-22,Orthopédie,28,2.87,2,10,26,21,0,30,45058,915,3740,0,1951,1500,6000
2022-06-22,Pneumologie,10,4.77,22,12,26,22,1,0,37230,949,3831,0,0,1300,5000
2022-06-23,Orthopédie,28,3.74,3,13,22,21,0,38,42238,887,3593,280,1830,1500,6000
2022-06-23,Pneumologie,23,3.35,0,11,25,22,4,0,32644,926,3758,0,1420,1300,5000
2022-06-24,Orthopédie,29,3.63,4,10,22,24,0,30,46174,860,3742,470,2212,1500,6000
2022-06-24,Pneumologie,12,4.45,11,13,26,23,2,0,37866,970,3866,0,0,1300,5000
2022-06-25,Orthopédie,27,3.75,5,12,26,20,0,38,47459,865,3643,487,2032,1500,6000
2022-06-25,Pneumologie,17,4.07,0,10,24,22,2,0,32501,904,3739,0,1421,1300,5000
2022-06-26,Orthopédie,30,3.37,1,12,24,22,0,32,48184,921,3752,0,1819,1500,6000
2022-06-26,Pneumologie,16,3.01,21,10,23,23,2,0,36795,939,3827,0,0,1300,5000
2022-06-27,Orthopédie,35,2.63,0,10,22,20,0,34,47112,923,3545,0,2287,1500,6000
2022-06-27,Pneumologie,19,4.7,0,10,25,20,3,0,36877,876,3593,293,1435,1300,5000
2022-06-28,Orthopédie,30,3.01,0,12,24,22,0,35,43298,894,3716,228,2261,1500,6000
2022-06-28,Pneumologie,10,3.18,38,9,23,22,1,0,37867,972,3863,0,0,1300,5000
2022-06-29,Orthopédie,38,2.94,0,9,23,22,0,32,47749,868,3442,233,1401,1500,6000
2022-06-29,Pneumologie,14,4.51,6,10,26,24,2,0,32875,957,3794,0,2000,1300,5000
2022-06-30,Orthopédie,31,3.06,0,10,25,21,0,31,43616,871,3643,459,2119,1500,6000
2022-06-30,Pneumologie,12,3.63,21,12,25,20,2,0,35223,941,3894,0,0,1300,5000
2022-07-01,Orthopédie,25,3.59,1,13,22,29,0,39,41997,949,3685,0,1987,1500,6000
2022-07-01,Pneumologie,19,3.62,5,13,26,30,3,0,36067,925,3719,0,2323,1300,5000
2022-07-02,Orthopédie,37,3.98,0,14,27,27,0,36,44222,900,3526,0,1781,1500,6000
2022-07-02,Pneumologie,16,3.0,23,14,26,26,2,0,34850,953,3770,0,1059,1300,5000
2022-07-03,Orthopédie,31,2.29,5,12,25,25,0,33,43770,965,3684,0,2159,1500,6000
2022-07-03,Pneumologie,10,3.68,35,14,26,27,1,0,34083,958,3902,0,0,1300,5000
2022-07-04,Orthopédie,28,2.5,5,13,25,25,0,38,41699,910,3844,0,0,1500,6000
2022-07-04,Pneumologie,11,3.08,34,13,23,28,1,0,32440,971,3834,0,0,1300,5000
2022-07-05,Orthopédie,36,3.93,0,11,27,27,0,33,42132,861,3515,302,1816,1500,6000
2022-07-05,Pneumologie,14,3.1,26,12,25,30,2,0,34993,959,3886,0,0,1300,5000
2022-07-06,Orthopédie,31,3.25,3,14,25,30,0,31,46562,945,3628,0,1182,1500,6000
2022-07-06,Pneumologie,13,3.95,20,13,24,30,2,0,37489,932,3897,0,0,1300,5000
2022-07-07,Orthopédie,32,2.08,3,12,27,25,0,32,44657,930,3691,0,2449,1500,6000
2022-07-07,Pneumologie,10,4.75,26,13,26,25,1,0,32888,944,3780,0,2142,1300,5000
2022-07-08,Orthopédie,29,2.81,0,13,26,26,0,38,47982,948,3717,0,1544,1500,6000
2022-07-08,Pneumologie,17,4.31,2,13,27,29,2,0,31546,946,3852,0,0,1300,5000
2022-07-09,Orthopédie,37,3.13,0,12,25,25,0,31,42475,857,3469,337,2469,1500,6000
2022-07-09,Pneumologie,15,4.86,0,10,24,27,2,0,36998,919,3724,0,1116,1300,5000
2022-07-10,Orthopédie,30,2.74,5,10,23,28,0,33,42805,910,3766,0,1352,1500,6000
2022-07-10,Pneumologie,16,3.0,17,13,24,25,2,0,37361,961,3888,0,0,1300,5000
2022-07-11,Orthopédie,36,2.72,0,12,25,30,0,35,48036,951,3801,0,0,1500,6000
2022-07-11,Pneumologie,14,4.81,0,11,26,29,2,0,32742,957,3819,0,0,1300,5000
2022-07-12,Orthopédie,39,2.19,3,12,26,28,0,31,47801,908,3814,0,0,1500,6000
2022-07-12,Pneumologie,8,4.15,41,12,27,29,1,0,31083,975,3901,0,0,1300,5000
2022-07-13,Orthopédie,30,2.72,0,13,26,28,0,36,44657,950,3618,0,1497,1500,6000
2022-07-13,Pneumologie,14,3.47,18,14,27,30,2,0,33657,946,3857,0,0,1300,5000
2022-07-14,Orthopédie,36,3.19,4,13,23,28,0,30,48546,921,3473,0,2361,1500,6000
2022-07-14,Pneumologie,11,4.92,13,12,24,27,2,0,35952,927,3822,0,0,1300,5000
2022-07-15,Orthopédie,36,3.75,0,13,24,27,0,33,41897,833,3480,288,2048,1500,6000
2022-07-15,Pneumologie,12,4.41,20,12,23,30,2,0,35292,952,3880,0,0,1300,5000
2022-07-16,Orthopédie,28,2.18,13,11,23,25,0,30,44367,961,3864,0,0,1500,6000
2022-07-16,Pneumologie,14,3.46,21,11,24,25,2,0,32979,964,3879,0,0,1300,5000
2022-07-17,Orthopédie,33,2.82,0,14,23,26,0,33,42818,904,3763,0,1346,1500,6000
2022-07-17,Pneumologie,14,3.28,29,11,24,29,2,0,33690,967,3897,0,0,1300,5000
2022-07-18,Orthopédie,33,3.48,1,14,24,30,0,32,41700,871,3431,313,2336,1500,6000
2022-07-18,Pneumologie,13,3.2,29,13,26,28,2,0,33719,947,3872,0,0,1300,5000
2022-07-19,Orthopédie,34,2.09,8,10,27,28,0,35,41454,919,3645,0,1108,1500,6000
2022-07-19,Pneumologie,12,3.11,36,10,24,26,1,0,38721,961,3839,0,0,1300,5000
2022-07-20,Orthopédie,33,3.61,0,12,24,25,0,32,44921,941,3708,0,1958,1500,6000
2022-07-20,Pneumologie,16,3.31,19,11,27,26,2,0,37380,922,3796,0,1372,1300,5000
2022-07-21,Orthopédie,27,2.1,22,11,25,29,0,35,46574,945,3776,0,1512,1500,6000
2022-07-21,Pneumologie,8,4.09,38,12,26,26,1,0,34065,971,3850,0,0,1300,5000
2022-07-22,Orthopédie,28,2.81,1,10,23,25,0,36,46032,924,3696,0,2390,1500,6000
2022-07-22,Pneumologie,14,3.76,17,12,25,28,2,0,33063,952,3819,0,0,1300,5000
2022-07-23,Orthopédie,30,3.13,2,14,26,30,0,35,47779,869,3780,387,2372,1500,6000
2022-07-23,Pneumologie,19,4.79,0,10,23,26,3,0,31547,920,3618,0,1760,1300,5000
2022-07-24,Orthopédie,24,2.62,11,14,25,28,0,36,46158,949,3808,0,0,1500,6000
2022-07-24,Pneumologie,15,4.92,3,14,23,29,2,0,33306,891,3721,430,1430,1300,5000
2022-07-25,Orthopédie,32,3.14,0,12,23,26,0,28,44944,926,3707,0,1408,1500,6000
2022-07-25,Pneumologie,15,3.17,20,14,23,25,2,0,33477,946,3775,0,2234,1300,5000
2022-07-26,Orthopédie,25,3.03,0,11,26,26,0,29,41924,945,3813,0,0,1500,6000
2022-07-26,Pneumologie,20,4.86,2,10,25,29,3,0,35776,901,3746,0,1385,1300,5000
2022-07-27,Orthopédie,31,2.93,0,11,23,27,0,26,45995,942,3738,0,2183,1500,6000
2022-07-27,Pneumologie,6,4.91,35,13,26,28,1,0,33055,973,3891,0,0,1300,5000
2022-07-28,Orthopédie,32,3.16,0,13,27,28,0,30,44348,876,3798,269,1398,1500,6000
2022-07-28,Pneumologie,13,3.14,33,11,23,29,2,0,35502,977,3847,0,0,1300,5000
2022-07-29,Orthopédie,30,3.02,4,13,23,26,0,33,45920,921,3737,0,1282,1500,6000
2022-07-29,Pneumologie,10,3.61,29,13,23,29,1,0,35319,970,3842,0,0,1300,5000
2022-07-30,Orthopédie,32,3.87,1,10,25,27,0,34,44205,825,3381,463,1253,1500,6000
2022-07-30,Pneumologie,15,4.59,0,12,27,28,2,0,33168,927,3701,0,1294,1300,5000
2022-07-31,Orthopédie,25,3.52,0,10,24,26,0,26,41773,942,3818,0,0,1500,6000
2022-07-31,Pneumologie,12,3.96,26,10,25,29,1,0,33581,938,3839,0,0,1300,5000
2022-08-01,Orthopédie,31,3.72,0,14,24,23,0,25,41323,889,3600,405,2475,1500,6000
2022-08-01,Pneumologie,11,3.33,34,15,24,23,2,0,36661,952,3850,0,0,1300,5000
2022-08-02,Orthopédie,32,2.91,3,11,24,23,0,32,47288,930,3577,0,1824,1500,6000
2022-08-02,Pneumologie,18,3.14,8,14,27,28,2,0,31129,921,3791,0,2402,1300,5000
2022-08-03,Orthopédie,24,3.96,4,13,25,28,0,30,44186,943,3680,0,1035,1500,6000
2022-08-03,Pneumologie,17,3.62,5,14,28,23,2,0,33090,963,3786,0,2233,1300,5000
2022-08-04,Orthopédie,27,2.92,0,12,27,26,0,29,41099,929,3626,0,2466,1500,6000
2022-08-04,Pneumologie,16,4.92,0,14,25,27,2,0,31085,882,3701,415,1416,1300,5000
2022-08-05,Orthopédie,30,2.23,8,11,25,23,0,28,46927,927,3797,0,1103,1500,6000
2022-08-05,Pneumologie,7,4.8,31,15,28,24,1,0,33999,977,3866,0,0,1300,5000
2022-08-06,Orthopédie,32,2.41,2,15,27,23,0,33,45995,911,3714,0,2380,1500,6000
2022-08-06,Pneumologie,10,3.31,35,12,28,23,1,0,33416,969,3862,0,0,1300,5000
2022-08-07,Orthopédie,26,3.17,3,13,25,26,0,25,43061,884,3723,480,1180,1500,6000
2022-08-07,Pneumologie,16,4.27,5,13,28,24,3,0,37616,924,3709,0,1820,1300,5000
2022-08-08,Orthopédie,27,2.74,4,11,25,23,0,31,41018,925,3768,0,2099,1500,6000
2022-08-08,Pneumologie,14,3.21,21,13,25,26,2,0,31635,936,3907,0,0,1300,5000
2022-08-09,Orthopédie,34,2.97,0,12,24,25,0,28,47380,937,3791,0,1237,1500,6000
2022-08-09,Pneumologie,15,4.95,0,13,25,26,2,0,36290,918,3796,0,1145,1300,5000
2022-08-10,Orthopédie,26,3.17,4,13,25,28,0,23,48554,888,3636,454,2470,1500,6000
2022-08-10,Pneumologie,16,3.07,15,14,28,28,2,0,36963,973,3848,0,0,1300,5000
2022-08-11,Orthopédie,23,3.63,0,11,24,24,0,25,48665,949,3637,0,1684,1500,6000
2022-08-11,Pneumologie,17,4.68,2,14,26,27,3,0,35585,887,3615,362,1803,1300,5000
2022-08-12,Orthopédie,24,2.02,30,14,28,25,0,27,47122,947,3898,0,0,1500,6000
2022-08-12,Pneumologie,8,4.01,41,13,24,26,1,0,36938,982,3900,0,0,1300,5000
2022-08-13,Orthopédie,24,3.08,2,12,27,28,0,26,44771,897,3852,299,0,1500,6000
2022-08-13,Pneumologie,7,4.44,34,12,27,27,1,0,32914,980,3891,0,0,1300,5000
2022-08-14,Orthopédie,30,3.6,0,13,26,23,0,28,44888,873,3499,330,2483,1500,6000
2022-08-14,Pneumologie,16,4.35,0,15,27,23,2,0,38715,931,3827,0,0,1300,5000
2022-08-15,Orthopédie,28,2.48,6,11,25,27,0,24,47678,933,3833,0,0,1500,6000
2022-08-15,Pneumologie,14,3.24,24,15,26,27,2,0,36138,933,3868,0,0,1300,5000
2022-08-16,Orthopédie,27,2.51,10,11,26,23,0,26,46700,905,3698,0,1763,1500,6000
2022-08-16,Pneumologie,9,4.42,33,14,25,25,1,0,37967,948,3903,0,0,1300,5000
2022-08-17,Orthopédie,24,2.32,21,11,25,27,0,28,46940,922,3844,0,0,1500,6000
2022-08-17,Pneumologie,13,4.79,11,12,26,26,2,0,33416,962,3818,0,0,1300,5000
2022-08-18,Orthopédie,32,3.94,0,15,24,28,0,23,41075,880,3738,418,2467,1500,6000
2022-08-18,Pneumologie,18,3.3,7,15,24,28,3,0,34421,963,3757,0,2051,1300,5000
2022-08-19,Orthopédie,22,3.09,5,13,24,27,0,30,44614,950,3661,0,2249,1500,6000
2022-08-19,Pneumologie,12,3.97,26,11,26,27,2,0,31850,965,3808,0,0,1300,5000
2022-08-20,Orthopédie,31,3.67,5,14,26,28,0,28,44303,858,3478,272,1518,1500,6000
2022-08-20,Pneumologie,15,4.19,7,15,24,25,2,0,36039,958,3815,0,0,1300,5000
2022-08-21,Orthopédie,25,2.22,14,15,26,24,0,25,45169,918,3802,0,0,1500,6000
2022-08-21,Pneumologie,12,3.0,34,13,28,27,1,0,36194,981,3919,0,0,1300,5000
2022-08-22,Orthopédie,19,2.68,21,14,27,27,0,28,41568,951,3769,0,2060,1500,6000
2022-08-22,Pneumologie,19,4.0,4,13,24,28,3,0,37667,908,3727,0,1201,1300,5000
2022-08-23,Orthopédie,24,2.29,15,15,27,28,0,27,46190,941,3836,0,0,1500,6000
2022-08-23,Pneumologie,19,4.41,2,15,27,27,3,0,32363,945,3649,0,2187,1300,5000
2022-08-24,Orthopédie,29,2.78,0,15,24,23,0,25,48817,911,3635,0,1752,1500,6000
2022-08-24,Pneumologie,11,4.68,15,12,24,26,2,0,33693,947,3772,0,1022,1300,5000
2022-08-25,Orthopédie,28,3.32,3,12,28,24,0,29,44334,866,3627,494,1351,1500,6000
2022-08-25,Pneumologie,17,3.76,10,12,28,27,2,0,35107,929,3705,0,1169,1300,5000
2022-08-26,Orthopédie,24,3.88,1,13,24,28,0,27,44059,915,3537,0,2010,1500,6000
2022-08-26,Pneumologie,11,4.79,15,14,27,25,2,0,34458,944,3795,0,2237,1300,5000
2022-08-27,Orthopédie,17,3.43,13,13,25,27,0,28,47072,937,3736,0,1852,1500,6000
2022-08-27,Pneumologie,20,3.74,3,15,24,23,3,0,33089,893,3740,312,1529,1300,5000
2022-08-28,Orthopédie,26,2.71,0,12,24,25,0,26,41651,905,3779,0,1990,1500,6000
2022-08-28,Pneumologie,13,4.96,9,12,27,28,2,0,34697,955,3718,0,1983,1300,5000
2022-08-29,Orthopédie,27,3.2,0,15,27,24,0,25,42707,872,3580,315,2112,1500,6000
2022-08-29,Pneumologie,11,3.93,24,12,25,24,2,0,34528,967,3845,0,0,1300,5000
2022-08-30,Orthopédie,30,2.1,12,11,25,27,0,20,42518,935,3836,0,0,1500,6000
2022-08-30,Pneumologie,18,3.87,0,13,26,26,2,0,33207,944,3855,0,0,1300,5000
2022-08-31,Orthopédie,22,3.93,0,13,27,24,0,23,46874,899,3703,363,1708,1500,6000
2022-08-31,Pneumologie,15,4.5,3,12,28,26,2,0,32402,923,3745,0,1603,1300,5000
2022-09-01,Orthopédie,19,3.05,21,11,24,19,0,18,42461,925,3828,0,0,1500,6000
2022-09-01,Pneumologie,16,4.75,5,11,25,22,2,0,38605,910,3671,0,1004,1300,5000
2022-09-02,Orthopédie,20,2.29,31,12,25,21,0,26,46011,945,3778,0,1257,1500,6000
2022-09-02,Pneumologie,17,4.15,2,12,27,22,2,0,36656,955,3655,0,1523,1300,5000
2022-09-03,Orthopédie,18,2.44,28,11,24,19,0,20,44833,944,3819,0,0,1500,6000
2022-09-03,Pneumologie,15,4.35,8,15,26,21,2,0,32847,922,3806,0,0,1300,5000
2022-09-04,Orthopédie,24,2.74,12,14,25,20,0,18,45160,938,3851,0,0,1500,6000
2022-09-04,Pneumologie,11,4.17,27,14,27,19,2,0,37266,944,3869,0,0,1300,5000
2022-09-05,Orthopédie,19,3.21,9,13,28,22,0,18,44180,911,3824,0,0,1500,6000
2022-09-05,Pneumologie,21,4.28,5,11,28,24,4,0,37314,882,3629,311,1815,1300,5000
2022-09-06,Orthopédie,19,2.32,26,14,25,21,0,22,41298,937,3857,0,0,1500,6000
2022-09-06,Pneumologie,19,4.08,0,14,26,20,3,0,37161,897,3823,251,0,1300,5000
2022-09-07,Orthopédie,19,3.58,5,15,27,21,0,19,46268,910,3822,0,0,1500,6000
2022-09-07,Pneumologie,15,3.19,27,15,26,20,2,0,36669,938,3829,0,0,1300,5000
2022-09-08,Orthopédie,26,2.73,0,15,27,20,0,20,44229,895,3732,480,1550,1500,6000
2022-09-08,Pneumologie,13,3.08,29,14,26,23,2,0,33420,962,3841,0,0,1300,5000
2022-09-09,Orthopédie,20,3.68,4,12,28,20,0,19,47870,938,3711,0,2273,1500,6000
2022-09-09,Pneumologie,11,4.34,24,14,28,23,1,0,38751,970,3805,0,0,1300,5000
2022-09-10,Orthopédie,18,3.75,11,11,24,21,0,15,43609,925,3712,0,1652,1500,6000
2022-09-10,Pneumologie,25,3.33,0,12,28,23,3,0,36456,942,3764,0,1976,1300,5000
2022-09-11,Orthopédie,19,2.63,22,14,26,20,0,16,48815,935,3884,0,0,1500,6000
2022-09-11,Pneumologie,25,4.05,2,13,25,23,4,0,35702,873,3762,373,1645,1300,5000
2022-09-12,Orthopédie,21,2.42,29,13,26,19,0,19,46603,937,3890,0,0,1500,6000
2022-09-12,Pneumologie,13,4.27,17,15,24,21,2,0,34330,933,3786,0,2239,1300,5000
2022-09-13,Orthopédie,22,2.99,10,14,28,19,0,15,45813,904,3834,0,0,1500,6000
2022-09-13,Pneumologie,14,3.53,17,15,24,19,2,0,32653,935,3771,0,2359,1300,5000
2022-09-14,Orthopédie,16,3.54,18,15,26,19,0,19,46829,935,3759,0,2298,1500,6000
2022-09-14,Pneumologie,20,4.0,3,11,25,24,3,0,38863,905,3624,0,1046,1300,5000
2022-09-15,Orthopédie,18,3.37,18,15,25,19,0,17,45378,945,3792,0,1366,1500,6000
2022-09-15,Pneumologie,20,4.57,0,14,25,23,3,0,34879,904,3594,0,1320,1300,5000
2022-09-16,Orthopédie,24,2.45,14,15,26,21,0,13,46116,960,3776,0,1904,1500,6000
2022-09-16,Pneumologie,22,4.92,0,13,24,21,4,0,33875,870,3532,253,1278,1300,5000
2022-09-17,Orthopédie,21,3.08,9,11,25,22,0,17,42235,965,3718,0,1703,1500,6000
2022-09-17,Pneumologie,22,3.51,0,13,25,19,4,0,38930,924,3792,0,2335,1300,5000
2022-09-18,Orthopédie,20,3.24,6,11,27,22,0,17,41839,905,3795,0,2139,1500,6000
2022-09-18,Pneumologie,15,4.53,1,14,25,20,2,0,36508,934,3813,0,0,1300,5000
2022-09-19,Orthopédie,23,3.43,3,12,25,20,0,21,41697,900,3704,0,2153,1500,6000
2022-09-19,Pneumologie,20,3.69,0,15,24,21,3,0,32798,946,3740,0,1594,1300,5000
2022-09-20,Orthopédie,16,3.54,15,11,26,21,0,16,44735,932,3870,0,0,1500,6000
2022-09-20,Pneumologie,25,3.36,0,12,24,19,3,0,35622,875,3758,217,2228,1300,5000
2022-09-21,Orthopédie,26,3.26,0,15,27,24,0,13,45858,902,3681,0,1319,1500,6000
2022-09-21,Pneumologie,21,3.45,0,12,28,19,3,0,35503,899,3739,205,1968,1300,5000
2022-09-22,Orthopédie,22,2.12,28,14,27,24,0,12,45561,931,3805,0,0,1500,6000
2022-09-22,Pneumologie,26,3.9,0,15,28,23,3,0,37002,945,3749,0,1955,1300,5000
2022-09-23,Orthopédie,25,3.18,4,12,28,19,0,14,47814,924,3691,0,1489,1500,6000
2022-09-23,Pneumologie,26,4.05,2,15,25,22,5,0,37300,845,3788,412,1830,1300,5000
2022-09-24,Orthopédie,24,2.19,24,11,26,20,0,20,43300,946,3847,0,0,1500,6000
2022-09-24,Pneumologie,25,4.32,1,14,26,22,4,0,38603,839,3543,463,2235,1300,5000
2022-09-25,Orthopédie,12,3.79,32,12,27,24,0,16,42730,971,3789,0,1886,1500,6000
2022-09-25,Pneumologie,25,3.82,0,14,24,20,4,0,34217,874,3661,202,1909,1300,5000
2022-09-26,Orthopédie,12,2.2,45,11,28,19,0,12,41452,965,3891,0,0,1500,6000
2022-09-26,Pneumologie,18,4.3,0,11,25,21,2,0,33329,957,3692,0,2110,1300,5000
2022-09-27,Orthopédie,18,3.91,0,12,24,19,0,15,42577,902,3675,0,1913,1500,6000
2022-09-27,Pneumologie,20,3.75,3,14,25,19,3,0,34881,920,3691,0,1004,1300,5000
2022-09-28,Orthopédie,19,2.98,15,14,26,19,0,11,45650,951,3866,0,0,1500,6000
2022-09-28,Pneumologie,21,3.75,0,11,27,24,3,0,32527,958,3640,0,1164,1300,5000
2022-09-29,Orthopédie,17,3.81,9,15,28,20,0,11,44647,941,3753,0,1211,1500,6000
2022-09-29,Pneumologie,27,3.08,0,13,25,24,4,0,35451,893,3711,422,2306,1300,5000
